text,label
"Dietary consultation for hyperlipidemia, hypertension, gastroesophageal reflux disease and weight reduction.",0
Arthroplasty of the right second digit.  Hammertoe deformity of the right second digit.,1
"Short-term followup - Hypertension, depression, osteoporosis, and osteoarthritis.",0
"Infection (folliculitis), pelvic pain, mood swings, and painful sex (dyspareunia).",0
Right nodular malignant mesothelioma.,1
"This patient has undergone cataract surgery, and vision is reduced in the operated eye due to presence of a secondary capsular membrane.  The patient is being brought in for YAG capsular discission.",1
Bilateral carotid cerebral angiogram and right femoral-popliteal angiogram.,1
A woman with end-stage peritoneal mesothelioma with multiple bowel perforations.,0
"Elevated cardiac enzymes, fullness in chest, abnormal EKG, and risk factors.  No evidence of exercise induced ischemia at a high myocardial workload.  This essentially excludes obstructive CAD as a cause of her elevated troponin.",0
"Left elbow pain.  Fracture of the humerus, spiral.  Possible nerve injuries to the radial and median nerve, possibly neurapraxia.",1
The patient seeks evaluation for a second opinion concerning cataract extraction.,0
Left arm and hand numbness.  CT head without contrast.  Noncontrast axial CT images of the head were obtained with 5 mm slice thickness.,1
Psychosocial evaluation of kidney donor.  Questions - Answers,1
"A 46-year-old white male with Down’s syndrome presents for followup of hypothyroidism, as well as onychomycosis.",0
Right carpal tunnel syndrome.  Right carpal tunnel release.,1
"Liposuction of the supraumbilical abdomen, revision of right breast reconstruction, excision of soft tissue fullness of the lateral abdomen and flank.",0
Emergency cesarean section.,1
"Counting calorie points, exercising pretty regularly, seems to be doing well",0
A 53-year-old female with left knee pain being evaluated for ACL tear.,0
Chiropractic Evaluation for neck and low back pain following a car accident.,0
"Phenol neurolysis left musculocutaneous nerve and bilateral obturator nerves.  Botulinum toxin injection left pectoralis major, left wrist flexors, and bilateral knee extensors.",1
"Resection of left chest wall tumor, partial resection of left diaphragm, left lower lobe lung wedge resection, left chest wall reconstruction with Gore-Tex mesh.",1
"Dysphagia, possible stricture.  Retained gastric contents forming a partial bezoar, suggestive of gastroparesis.",1
An example/template for a routine normal male physical exam.,0
"Cataract to right eye.  Cataract extraction with intraocular lens implant of the right eye, anterior vitrectomy of the right eye.",1
Psychiatric consultation for management of pain medications.,0
The patient had tympanoplasty surgery for a traumatic perforation of the right ear about six weeks ago.,1
"Transforaminal lumbar interbody fusion, placement of intervertebral prosthetic device.",1
The patient was discharged by court as a voluntary drop by prosecution.,0
Evaluation for chronic pain program,0
Insertion of Port-A-Cath via left subclavian vein using fluoroscopy in a patient with renal cell carcinoma.,1
"First-degree and second-degree burns, right arm secondary to hot oil spill - Workers' Compensation industrial injury.",1
"Cerebrovascular accident (CVA) with right arm weakness and MRI indicating acute/subacute infarct involving the left posterior parietal lobe without mass effect.  2.  Old coronary infarct, anterior aspect of the right external capsule.  Acute bronchitis with reactive airway disease.",0
"Temporal cheek-neck facelift  and submental suction assisted lipectomy to correct facial and neck skin ptosis and cheek, neck, and jowl lipotosis, and facial rhytides.",0
"Atrial fibrillation with rapid ventricular response, Wolff-Parkinson White Syndrome, recent aortic valve replacement with bioprosthetic Medtronic valve, and hyperlipidemia.",1
Ligation and stripping of left greater saphenous vein to the level of the knee.  Stripping of multiple left lower extremity varicose veins.  Varicose veins.,1
Spermatocelectomy and orchidopexy,1
The patient states that he feels sick and weak.,0
Patient with a previous history of working in the coalmine and significant exposure to silica with resultant pneumoconiosis and fibrosis of the lung.,0
"Dobutamine stress test for chest pain, as the patient was unable to walk on a treadmill, and allergic to adenosine.  Nondiagnostic dobutamine stress test.   Normal nuclear myocardial perfusion scan.",0
Debulking of hemangioma of the nasal tip through an open rhinoplasty approach and rhinoplasty.,0
This 34-year-old gentleman awoke this morning noting some itchiness to his back and then within very a short period of time realized that he had an itchy rash all over his torso and arms.,0
EGD with dilation for dysphagia.,1
Endovascular Brachytherapy (EBT),1
"Total thyroidectomy.  The patient is a female with a history of Graves disease.  Suppression was attempted, however, unsuccessful.  She presents today with her thyroid goiter.",1
GI Consultation for Chrohn's disease.,0
Perlane injection for the nasolabial fold.  Restylane injection for the glabellar fold.,1
"Consult for generalized body aches, cough, nausea, and right-sided abdominal pain for two days - Bronchitis.",0
"The patient is a 26-year-old gravida 2, para 1-0-0-1, at 28-1/7 weeks who presents to the emergency room with left lower quadrant pain, reports no bowel movement in two weeks as well as nausea and vomiting for the last 24 hours or so.  She states that she has not voided in the last 24 hours as well due to pain.",1
"An 86-year-old female with persistent abdominal pain, nausea and vomiting, during evaluation in the emergency room, was found to have a high amylase, as well as lipase count and she is being admitted for management of acute pancreatitis.",0
Consultation for FCR tendinitis,1
"Patient with a history of atrial fibrillation in the past, more recently who has had atrial flutter.  The patient has noted some lightheadedness as well as chest discomfort and shortness of breath when atrial flutter recurred.",1
"The patient is 14 months old, comes in with a chief complaint of difficulty breathing.",1
"Patient was referred for a neuropsychological evaluation after a recent hospitalization for possible transient ischemic aphasia.  Two years ago, a similar prolonged confusional spell was reported as well.  A comprehensive evaluation was requested to assess current cognitive functioning and assist with diagnostic decisions and treatment planning.",1
"Patient had movor vehicle accirdent and may have had a brief loss of consciousness.  Shortly thereafter she had some blurred vision,  Since that time she has had right low neck pain and left low back pain.",1
MRI - Intracerebral hemorrhage (very acute clinical changes occurred immediately prior to scan).,0
Right iliopsoas hematoma with associated femoral neuropathy following cardiac catherization.,1
An example/template for a routine normal male physical exam.,0
Fall with questionable associated loss of consciousness.  Left parietal epidural hematoma.,0
"Austin/akin bunionectomy, right foot.  Bunion, right foot.  The patient states she has had a bunion deformity for as long as she can remember that has progressively become worse and more painful.",1
Recurrent anterior dislocating left shoulder.  Arthroscopic debridement of the left shoulder with attempted arthroscopic Bankart repair followed by open Bankart arthroplasty of the left shoulder.,1
"Stage IIIC endometrial cancer.  Adjuvant chemotherapy with cisplatin, Adriamycin, and Abraxane.  The patient is a 47-year-old female who was noted to have abnormal vaginal bleeding in the fall of 2009.",0
Status post a high-speed motor vehicle accident in which patient was ejected from the vehicle.,1
A middle-aged male with increasing memory loss and history of Lyme disease.,1
"Seizure, hypoglycemia, anemia, dyspnea, edema. colon cancer status post right hemicolectomy, hospital-acquired pneumonia, 
and congestive heart failure.",0
Anterior cervical discectomy fusion C3-C4 and C4-C5 using operating microscope and the ABC titanium plates fixation with bone black bone procedure.  Cervical spondylotic myelopathy with cord compression and cervical spondylosis.,1
An example/template for a routine normal male physical exam.,0
"Bunionectomy with distal first metatarsal osteotomy and internal screw fixation, right foot.  Akin bunionectomy, right toe with internal wire fixation.",1
1-month-old for a healthy checkup - Well child check,0
"Stage IIA right breast cancer.  The pathology showed an infiltrating ductal carcinoma Nottingham grade II.  The tumor was ER positive, PR positive and HER-2/neu negative.",0
Right hip osteoarthritis.  Total hip replacement on the right side.,1
"Chronic venous hypertension with painful varicosities, lower extremities, bilaterally.  Greater saphenous vein stripping and stab phlebectomies requiring 10 to 20 incisions, bilaterally.",1
"The patient is a very pleasant 72-year-old female with previous history of hypertension and also recent diagnosis of C. diff,  presents to the hospital with abdominal pain, cramping, and persistent diarrhea.",0
"The patient is a 5-1/2-year-old with Down syndrome, complex heart disease consisting of atrioventricular septal defect and tetralogy of Fallot with pulmonary atresia, discontinuous pulmonary arteries and bilateral superior vena cava with a left cava draining to the coronary sinus and a right aortic arch.",1
"Functional endoscopic sinus surgery, bilateral maxillary antrostomy, bilateral total ethmoidectomy, bilateral nasal polypectomy, and right middle turbinate reduction.",1
"Phacoemulsification with IOL, right eye.  Cataract, right eye.  A lid speculum was placed in the right eye after which a supersharp was used to make a stab incision at the 4 o'clock position through which 2% preservative-free Xylocaine was injected followed by Viscoat.",1
Spontaneous controlled sterile vaginal delivery performed without episiotomy.,1
"Multiple Progress Notes for different dates in a patient with respiratory failure, on ventilator.",0
"Upper endoscopy, patient with dysphagia.",1
"Toenails are discolored, thickened, and painful - Onychomycosis",1
"MRI of the Cervical, Thoracic, and Lumbar Spine",0
Bilateral open Achilles lengthening with placement of short leg walking cast.,1
"Hemarthrosis, left knee, status post total knee replacement, rule out infection.  Arthrotomy, irrigation and debridement, and polyethylene exchange, left knee.  No complications were encountered throughout the procedure.",1
"Right shoulder impingement syndrome, right suprascapular neuropathy.",1
Followup on weight loss on phentermine.,0
An example normal physical exam,0
Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction.,0
"Ash split venous port insertion. The right anterior chest and supraclavicular fossa area, neck, and left side of chest were prepped with Betadine and draped in a sterile fashion.",1
Patient with juvenile myoclonic epilepsy and recent generalized tonic-clonic seizure.,0
